Q(MPa)	Defvolfluide	Q(MPa)	defvol
5.07E+01	9.88E-04	3.44E+01	4.33E-03
5.10E+01	9.88E-04	3.41E+01	4.33E-03
5.13E+01	9.88E-04	3.38E+01	4.33E-03
5.16E+01	1.01E-03	3.35E+01	4.33E-03
5.22E+01	1.01E-03	3.32E+01	4.33E-03
5.22E+01	1.01E-03	3.32E+01	4.33E-03
5.27E+01	1.02E-03	3.29E+01	4.33E-03
5.30E+01	1.02E-03	3.26E+01	4.33E-03
5.33E+01	1.02E-03	3.24E+01	4.33E-03
5.39E+01	1.02E-03	3.20E+01	4.33E-03
5.42E+01	1.02E-03	3.18E+01	4.33E-03
5.45E+01	1.02E-03	3.18E+01	4.33E-03
5.48E+01	1.03E-03	3.15E+01	4.33E-03
5.53E+01	1.03E-03	3.12E+01	4.33E-03
5.56E+01	1.04E-03	3.09E+01	4.33E-03
5.59E+01	1.05E-03	3.06E+01	4.33E-03
5.65E+01	1.05E-03	3.03E+01	4.33E-03
5.68E+01	1.05E-03	3.03E+01	4.33E-03
5.71E+01	1.05E-03	3.00E+01	4.33E-03
5.77E+01	1.05E-03	2.97E+01	4.33E-03
5.79E+01	1.05E-03	2.94E+01	4.33E-03
5.82E+01	1.05E-03	2.91E+01	4.33E-03
5.88E+01	1.05E-03	2.92E+01	4.33E-03
5.91E+01	1.06E-03	2.89E+01	4.33E-03
5.94E+01	1.07E-03	2.86E+01	4.33E-03
6.00E+01	1.07E-03	2.83E+01	4.33E-03
6.03E+01	1.10E-03	2.81E+01	4.33E-03
6.06E+01	1.14E-03	2.77E+01	4.33E-03
6.11E+01	1.17E-03	2.77E+01	4.33E-03
6.14E+01	1.17E-03	2.74E+01	4.33E-03
6.18E+01	1.17E-03	2.71E+01	4.33E-03
6.23E+01	1.17E-03	2.69E+01	4.33E-03
6.26E+01	1.17E-03	2.66E+01	4.33E-03
6.32E+01	1.17E-03	2.66E+01	4.33E-03
6.34E+01	1.19E-03	2.63E+01	4.33E-03
6.37E+01	1.19E-03	2.60E+01	4.36E-03
6.43E+01	1.19E-03	2.57E+01	4.40E-03
6.46E+01	1.19E-03	2.57E+01	4.40E-03
6.52E+01	1.19E-03	2.54E+01	4.40E-03
6.54E+01	1.19E-03	2.51E+01	4.40E-03
6.57E+01	1.20E-03	2.48E+01	4.40E-03
6.63E+01	1.20E-03	2.45E+01	4.40E-03
6.66E+01	1.20E-03	2.45E+01	4.40E-03
6.69E+01	1.20E-03	2.43E+01	4.40E-03
6.75E+01	1.20E-03	2.40E+01	4.40E-03
6.78E+01	1.20E-03	2.38E+01	4.40E-03
6.83E+01	1.20E-03	2.38E+01	4.40E-03
6.86E+01	1.20E-03	2.34E+01	4.40E-03
6.89E+01	1.20E-03	2.31E+01	4.40E-03
6.95E+01	1.21E-03	2.31E+01	4.40E-03
6.98E+01	1.24E-03	2.27E+01	4.40E-03
7.04E+01	1.29E-03	2.24E+01	4.40E-03
7.06E+01	1.29E-03	2.22E+01	4.40E-03
7.12E+01	1.29E-03	2.22E+01	4.40E-03
7.15E+01	1.29E-03	2.19E+01	4.40E-03
7.19E+01	1.30E-03	2.16E+01	4.40E-03
7.25E+01	1.30E-03	2.16E+01	4.40E-03
7.28E+01	1.30E-03	2.13E+01	4.40E-03
7.34E+01	1.30E-03	2.11E+01	4.40E-03
7.37E+01	1.30E-03	2.08E+01	4.40E-03
7.40E+01	1.30E-03	2.08E+01	4.40E-03
7.45E+01	1.30E-03	2.05E+01	4.40E-03
7.48E+01	1.30E-03	2.02E+01	4.40E-03
7.51E+01	1.30E-03	2.02E+01	4.40E-03
7.57E+01	1.30E-03	1.99E+01	4.40E-03
7.60E+01	1.30E-03	1.96E+01	4.40E-03
7.66E+01	1.31E-03	1.94E+01	4.40E-03
7.68E+01	1.34E-03	1.93E+01	4.40E-03
7.74E+01	1.38E-03	1.90E+01	4.40E-03
7.77E+01	1.41E-03	1.88E+01	4.40E-03
7.79E+01	1.41E-03	1.85E+01	4.40E-03
7.85E+01	1.41E-03	1.85E+01	4.40E-03
7.88E+01	1.41E-03	1.82E+01	4.40E-03
7.94E+01	1.41E-03	1.79E+01	4.40E-03
7.96E+01	1.41E-03	1.79E+01	4.40E-03
8.02E+01	1.41E-03	1.76E+01	4.40E-03
8.05E+01	1.41E-03	1.73E+01	4.40E-03
8.11E+01	1.41E-03	1.73E+01	4.40E-03
8.14E+01	1.41E-03	1.70E+01	4.40E-03
8.17E+01	1.42E-03	1.67E+01	4.40E-03
8.22E+01	1.42E-03	1.67E+01	4.40E-03
8.25E+01	1.42E-03	1.65E+01	4.40E-03
8.31E+01	1.42E-03	1.62E+01	4.40E-03
8.34E+01	1.43E-03	1.62E+01	4.40E-03
8.40E+01	1.43E-03	1.59E+01	4.40E-03
8.43E+01	1.43E-03	1.56E+01	4.40E-03
8.47E+01	1.43E-03	1.56E+01	4.40E-03
8.51E+01	1.43E-03	1.53E+01	4.40E-03
8.54E+01	1.43E-03	1.50E+01	4.40E-03
8.60E+01	1.44E-03	1.50E+01	4.40E-03
8.63E+01	1.44E-03	1.47E+01	4.40E-03
8.67E+01	1.45E-03	1.44E+01	4.40E-03
8.71E+01	1.49E-03	1.44E+01	4.40E-03
8.77E+01	1.49E-03	1.41E+01	4.40E-03
8.80E+01	1.49E-03	1.40E+01	4.40E-03
8.86E+01	1.49E-03	1.40E+01	4.40E-03
8.89E+01	1.50E-03	1.36E+01	4.40E-03
8.92E+01	1.50E-03	1.32E+01	4.40E-03
8.97E+01	1.50E-03	1.32E+01	4.40E-03
9.00E+01	1.50E-03	1.30E+01	4.40E-03
9.06E+01	1.50E-03	1.30E+01	4.40E-03
9.09E+01	1.51E-03	1.27E+01	4.40E-03
9.15E+01	1.50E-03	1.23E+01	4.40E-03
9.18E+01	1.50E-03	1.23E+01	4.40E-03
9.24E+01	1.50E-03	1.20E+01	4.40E-03
9.26E+01	1.54E-03	1.21E+01	4.40E-03
9.32E+01	1.58E-03	1.18E+01	4.40E-03
9.35E+01	1.58E-03	1.15E+01	4.40E-03
